,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,1,2023-06-12,2023-06-13,AsiaBerlin Summit 2023,https://www.eventbrite.de/e/asiaberlin-summit-2023-tickets-537155806477,DE,Berlin,BE,Rathausstraße 15,10178,52.51827749999999,13.4086443,Rotes Rathaus
1,1,2023-06-10,2023-06-11,AFRICAN FOOD FESTIVAL BERLIN - SUMMERMARKET EDITION,https://www.eventbrite.de/e/african-food-festival-berlin-summermarket-edition-tickets-641673431507,DE,Berlin,Berlin,Luckenwalder Straße 6b,10963,52.4989607,13.3732248,jules Gleisdreieck | Café | Canteen | Beergarden
2,1,2023-07-08,2023-07-09,LoveBase,https://www.eventbrite.de/e/lovebase-tickets-635329917887,DE,Berlin,Berlin,Knaackstraße 97,10435,52.5393856,13.413710600000059,Kulturbrauerei
3,1,2023-06-11,2023-06-11,"★LIVE STAND UP COMEDY★im Comedy Club ""Mad Monkey Room"" | 18:00h| 030 COMEDY",https://www.eventbrite.de/e/live-stand-up-comedyim-comedy-club-mad-monkey-room-1800h-030-comedy-tickets-383466276957,DE,Berlin,Berlin,Danziger Straße 1,10435,52.54172089999999,13.4121977,Mad Monkey Room
4,1,2023-06-24,2023-06-25,UNSHAVED Bear Summer Edition 2023,https://www.eventbrite.de/e/unshaved-bear-summer-edition-2023-tickets-633483866297,DE,Berlin,Berlin,Obentrautstraße 19-21,10963,52.49597199999999,13.387725799999998,Gretchen
5,1,2023-07-01,2023-07-01,STICKS & STONES Berlin '23 - Europas größte LGBTIQ+ Job- & Karrieremesse,https://www.eventbrite.de/e/sticks-stones-berlin-23-europas-grote-lgbtiq-job-karrieremesse-tickets-471024656427,DE,Berlin,BE,Mercedes-Platz 2,10243,52.5051406,13.4429749,Verti Music Hall
6,1,2023-06-08,2023-06-08,How to nail the tech hiring process: Women in tech Berlin,https://www.eventbrite.co.uk/e/how-to-nail-the-tech-hiring-process-women-in-tech-berlin-tickets-632881384257,DE,Berlin,BE,Lohmühlenstraße 65,12435,52.4940556,13.4463246,Factory Berlin Görlitzer Park
7,1,2023-06-07,2023-06-07,David and Goliath: Sustainable Fashion Panel with t3n,https://www.eventbrite.com/e/david-and-goliath-sustainable-fashion-panel-with-t3n-tickets-474075531677,DE,Berlin,Berlin,Lohmühlenstraße 65,12435,52.4940361,13.4462696,Factory Berlin Görlitzer Park
8,1,2023-06-23,2023-06-23,That's What She Said - Female Comedy Night,https://www.eventbrite.de/e/thats-what-she-said-female-comedy-night-tickets-472117144087,DE,Berlin,BE,Kopenhagener Straße 16,10437,52.5491865,13.4081362,Kohlenquelle
9,1,2023-06-16,2023-06-18,Großer Pflanzenverkauf - Berlin,https://www.eventbrite.de/e/groer-pflanzenverkauf-berlin-tickets-634740344457,DE,Berlin,BE,Luckenwalder Straße 3,10963,52.4996866,13.3765572,Kühlhaus Berlin
10,1,2023-06-07,2023-06-07,Saying the Wrong Thing: An English Comedy Hour in Berlin(Free Entry),https://www.eventbrite.com/e/saying-the-wrong-thing-an-english-comedy-hour-in-berlinfree-entry-tickets-626344181307,DE,Berlin,BE,Kopenhagener Straße 16,10437,52.5491865,13.4081362,Kohlenquelle
11,1,2023-06-18,2023-06-18,awk.word presents: Shaden in Berlin,https://www.eventbrite.com/e/awkword-presents-shaden-in-berlin-tickets-629279179967,DE,Berlin,BE,Möckernstrasse 10,10963,52.50162599999999,13.381228,Tempodrom Berlin
12,1,2023-06-09,2023-06-09,Shimmy Shake Shows @LOVELITE,https://www.eventbrite.com/e/shimmy-shake-shows-lovelite-tickets-549233170197,DE,Berlin,BE,Haasestraße 1,10245,52.5066667,13.4616667,Lovelite
13,1,2023-06-09,2023-06-09,The Epic Comedy Show: An English Comedy Event in Berlin (English-Speaking),https://www.eventbrite.com/e/the-epic-comedy-show-an-english-comedy-event-in-berlin-english-speaking-tickets-640145601727,DE,Berlin,BE,Tucholskystraße 30,10117,52.5260125,13.3936047,Zosch
14,1,2023-06-25,2023-06-25,TwoSet Violin World Tour 2023/24,https://www.eventbrite.com.au/e/twoset-violin-world-tour-202324-tickets-606860464987,DE,Berlin,BE,Herbert-von-Karajan-Straße 1,10785,52.5100319,13.369693,Berliner Philharmonie
15,1,2023-06-15,2023-06-15,Business Creator Summit 2023 by Diana zur Löwen & Sarah Emmerich,https://www.eventbrite.de/e/business-creator-summit-2023-by-diana-zur-lowen-sarah-emmerich-tickets-462555284307,DE,Berlin,BE,Bessemerstraße 2-14,12103,52.4669474,13.36592,Malzfabrik
16,1,2023-06-10,2023-06-10,Truth and Lies: A Comedy Game Show,https://www.eventbrite.co.uk/e/truth-and-lies-a-comedy-game-show-tickets-622526241747,DE,Berlin,BE,Nürnberger Straße 68,10787,52.5045029,13.3412219,Terminal 1 Berlin
17,1,2023-06-14,2023-06-15,BERLIN MUSIC VIDEO AWARDS 2023 (11th EDITION),https://www.eventbrite.de/e/berlin-music-video-awards-2023-11th-edition-tickets-595759732397,DE,Berlin,Berlin,Obentrautstraße 19-21,10963,52.49597199999999,13.387725799999998,Gretchen
18,1,2023-06-20,2023-06-20,Life drawing with a twist: Life models in costume and exciting settings,https://www.eventbrite.de/e/life-drawing-with-a-twist-life-models-in-costume-and-exciting-settings-tickets-640477163437,DE,Berlin,BE,Donaustraße 119,12043,52.484075,13.4324361,Das Gift
