,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,50,2023-06-14,2023-06-14,Gemeinsam Malen - Spachtel BiColor,https://www.eventbrite.de/e/gemeinsam-malen-spachtel-bicolor-tickets-632581246537,DE,Berlin,BE,Stephanstraße 18,10559,52.5342488,13.3492188,Stephanstraße 18
1,50,2023-06-07,2023-06-07,Gemeinsam Formen - Epoxy Block,https://www.eventbrite.de/e/gemeinsam-formen-epoxy-block-tickets-632573062057,DE,Berlin,BE,Stephanstraße 18,10559,52.5342488,13.3492188,Stephanstraße 18
2,50,2023-06-10,2023-06-11,"Intoxication w. Reality Test, Memento Mori, Si-Moon",https://www.eventbrite.de/e/intoxication-w-reality-test-memento-mori-si-moon-tickets-642908906847,DE,Berlin,BE,Dircksenstraße 123,10178,52.52263790000001,13.4092318,M-Bia
3,50,2023-06-16,2023-06-16,Hungarian Wine Tasting,https://www.eventbrite.de/e/hungarian-wine-tasting-tickets-648922904877,DE,Berlin,Berlin,Köpenicker Straße 40,10179,52.5086808,13.425587,Denizen
4,50,2023-06-24,2023-06-24,Q&A Session: Prof. Schölmerich & Studierende | New Work & Business Coaching,https://www.eventbrite.de/e/qa-session-prof-scholmerich-studierende-new-work-business-coaching-registrierung-641213917087,DE,Berlin,BE,Ernst-Reuter-Platz 10,10587,52.51364269999999,13.3220059,SRH Hochschule Berlin
5,50,2023-06-29,2023-06-29,the sleepover [comedy game show!],https://www.eventbrite.com/e/the-sleepover-comedy-game-show-tickets-648174987837,DE,Berlin,BE,Pestalozzistraße 5-8,13187,52.5719503,13.403387,The Base Berlin One - Mikro Apartments | Community | Coworking | Fitness | Café & Bar
6,50,2023-06-07,2023-06-07,Laborführung am FB Physik der FU Berlin - für Studieninteressierte,https://www.eventbrite.com/e/laborfuhrung-am-fb-physik-der-fu-berlin-fur-studieninteressierte-tickets-646467480637,DE,Berlin,BE,Arnimallee 14,14195,52.4561083,13.2955717,Berlin
7,50,2023-06-11,2023-06-11,Discover Romanian Cuisine - 6-Course Fine Dining & Wine Pairing,https://www.eventbrite.de/e/discover-romanian-cuisine-6-course-fine-dining-wine-pairing-tickets-641616441047,DE,Berlin,BE,Straßburger Straße 37,10405,52.5315609,13.4152365,The Makery
8,50,2023-06-30,2023-07-01,Aftershow Party Gymnasium Steglitz 2023,https://www.eventbrite.de/e/aftershow-party-gymnasium-steglitz-2023-tickets-648190504247,DE,Berlin,Berlin,Columbiadamm 13-21,10965,52.48464999999999,13.39221,Columbiahalle
9,50,2023-06-22,2023-06-22,Intro to German Wine & Cheese Tasting + Mini Course,https://www.eventbrite.com/e/intro-to-german-wine-cheese-tasting-mini-course-tickets-650647332687,DE,Berlin,BE,Straßburger Straße 37,10405,52.5315609,13.4152365,The Makery
10,50,2023-07-07,2023-07-07,Turn Your Passion into a Career,https://www.eventbrite.de/e/turn-your-passion-into-a-career-tickets-645367279907,DE,Berlin,BE,Sredzkistraße 36,10435,52.5381227,13.4182114,"Find Your Wine Match - Wine Shop, Wine Bar & Wine Tastings in Berlin Prenzlauer Berg"
11,50,2023-06-07,2023-06-07,Awakening Yoga • Weekly Class • Berlin,https://www.eventbrite.com/e/awakening-yoga-weekly-class-berlin-tickets-402902902427,DE,Berlin,BE,Online Event on Zoom,10115,52.50578410000001,13.3316929,Soul Dimension
12,50,2023-06-09,2023-06-10,PubCrawl Berlin Private Tour,https://www.eventbrite.de/e/pubcrawl-berlin-private-tour-tickets-507418922657,DE,Berlin,BE,Simplonstraße,10245,52.5066245,13.4622024,Simplonstraße
13,50,2023-06-21,2023-06-21,Erdenhüter-Kreis,https://www.eventbrite.de/e/erdenhuter-kreis-tickets-640467895717,DE,Berlin,BE,Späthstraße 80,12437,52.45434,13.47371,Späthstraße 80
14,50,2023-06-13,2023-06-13,Develop a Successful Blockchain  Tech Startup Business Today! Entrepreneur,https://www.eventbrite.com/e/develop-a-successful-blockchain-tech-startup-business-today-entrepreneur-tickets-501866274537,DE,Berlin,Berlin,Virtual Workshop,,52.52000659999999,13.404954,Berlin
15,50,2023-06-13,2023-06-13,Develop a Successful Smart City Tech Startup Business Today! Entrepreneur,https://www.eventbrite.com/e/develop-a-successful-smart-city-tech-startup-business-today-entrepreneur-tickets-500646987617,DE,Berlin,Berlin,Virtual Workshop,,52.52000659999999,13.404954,Berlin
16,50,2023-06-13,2023-06-13,Develop a Successful Smart Travel Tech Startup Business Today! Entrepreneur,https://www.eventbrite.com/e/develop-a-successful-smart-travel-tech-startup-business-today-entrepreneur-tickets-500755973597,DE,Berlin,Berlin,Virtual Workshop,,52.52000659999999,13.404954,Berlin
17,50,2023-06-13,2023-06-13,Develop a Successful Cybersecurity Startup Business Today! Entrepreneur,https://www.eventbrite.com/e/develop-a-successful-cybersecurity-startup-business-today-entrepreneur-tickets-500798801697,DE,Berlin,Berlin,Virtual Workshop,,52.52000659999999,13.404954,Berlin
18,50,2023-06-08,2023-06-08,Abgesagt! +++ Kraftfahrer-Roadshow im JOB POINT Mitte,https://www.eventbrite.de/e/abgesagt-kraftfahrer-roadshow-im-job-point-mitte-tickets-639188739727,DE,Berlin,BE,Alt-Moabit 84,10555,52.5255495,13.3395834,JOB POINT Berlin Mitte
19,50,2023-06-14,2023-06-14,Offene Stopf-Werkstatt: Sichtbare Reparatur,https://www.eventbrite.de/e/offene-stopf-werkstatt-sichtbare-reparatur-tickets-636578803337,DE,Berlin,,Auguste-Viktoria-Allee 99,13403,52.5688812,13.327874,NochMall
