page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
4,2023-06-07,2023-06-07,Im Spotlight: KI-Startups und die Wissenschaft,https://www.eventbrite.com/e/im-spotlight-ki-startups-und-die-wissenschaft-tickets-630620652347,DE,Berlin,BE,Max-Urich-Straße 3,13355,52.53935070000001,13.3836954,AI Campus Berlin,630620652347
4,2023-06-15,2023-06-15,KlumBum 2023 - DAS FINALE,https://www.eventbrite.de/e/klumbum-2023-das-finale-tickets-632238050027,DE,Berlin,BE,Revaler Straße 99,10245,52.507921,13.453509,Bar Zum schmutzigen Hobby,632238050027
4,2023-06-17,2023-06-18,"TOP90s: 90s Pop, Eurodance, Trash *BIRTHDAY SPECIAL*",https://www.eventbrite.com/e/top90s-90s-pop-eurodance-trash-birthday-special-tickets-592314126497,DE,Berlin,Berlin,Revaler Straße 99,10245,52.5072813,13.45397939999998,Badehaus Szimpla,592314126497
4,2023-06-24,2023-06-25,Ü30 Party Berlin – die größte Ü30 Party Berlins,https://www.eventbrite.de/e/u30-party-berlin-die-grote-u30-party-berlins-tickets-621062212797,DE,Berlin,Berlin,Köpenicker Straße 16-17,10997,52.50589000000001,13.43470209999998,Spindler & Klatt,621062212797
4,2023-06-14,2023-06-14,"Mittwochs ganz ""OBEN""",https://www.eventbrite.de/e/mittwochs-ganz-oben-tickets-637950405837,DE,Berlin,BE,Große Präsidentenstraße 6-7,10178,52.5230484,13.4008546,Hotel Zoe by AMANO,637950405837
4,2023-06-09,2023-06-10,After Dark Comedy at Zosch: A Late Night Comedy Show in Berlin,https://www.eventbrite.com/e/after-dark-comedy-at-zosch-a-late-night-comedy-show-in-berlin-tickets-640146965807,DE,Berlin,BE,Tucholskystraße 30,10117,52.5260125,13.3936047,Zosch,640146965807
4,2023-06-07,2023-06-07,F&B Innovators Brunch Berlin,https://www.eventbrite.de/e/fb-innovators-brunch-berlin-tickets-630106895687,DE,Berlin,BE,Mollstraße 32,10249,52.5253301,13.4209716,KitchenTown Berlin,630106895687
4,2023-06-10,2023-06-11,RAVE ME BACK SUMMER DREAM w/ 8 DJ`s Outdoor & Indoor,https://www.eventbrite.de/e/rave-me-back-summer-dream-w-8-djs-outdoor-indoor-tickets-629598926337,DE,Berlin,Berlin,Alexanderstraße 7,10178,52.5230016,13.416553700000009,A SEVEN CLUB,629598926337
4,2023-06-13,2023-06-14,JAZZ JAM SESSION Night feat. Bar Bobu Jazz Trio,https://www.eventbrite.de/e/jazz-jam-session-night-feat-bar-bobu-jazz-trio-tickets-498641408877,DE,Berlin,BE,Müggelstraße 9,10247,52.51201479999999,13.470691,Bar Bobu,498641408877
4,2023-06-10,2023-06-10,SATURDAY NIGHT LIVE STANDUP,https://www.eventbrite.com/e/saturday-night-live-standup-tickets-632713241337,DE,Berlin,Berlin,Stargarder Straße 33,10437,52.5436533,13.4244142,La Minga,632713241337
4,2023-07-16,2023-07-16,Creatives hangout with coffee,https://www.eventbrite.com/e/creatives-hangout-with-coffee-tickets-541193944657,DE,Berlin,BE,Lucy-Lameck-Straße 32,12049,52.4838189,13.4228749,Bulbul Cafe,541193944657
4,2023-07-02,2023-07-02,Live-Wrestling in Berlin | GWF  Summer Smash 8,https://www.eventbrite.de/e/live-wrestling-in-berlin-gwf-summer-smash-8-tickets-482995140467,DE,Berlin,Berlin,Am Flutgraben 2,12435,52.4967039,13.451584300000036,Festsaal Kreuzberg,482995140467
4,2023-06-08,2023-06-08,Sundowner - Netzwerken über den Dächern Berlins,https://www.eventbrite.de/e/sundowner-netzwerken-uber-den-dachern-berlins-tickets-535788667327,DE,Berlin,BE,Ritterstraße 3,10969,52.50086899999999,13.4129875,Ritterstraße 3,535788667327
4,2023-06-09,2023-06-09,SX TECH BERLIN SUMMER MEETUP,https://www.eventbrite.ie/e/sx-tech-berlin-summer-meetup-tickets-634540095507,DE,Berlin,BE,Ritterstraße 12-14,10969,52.5020693,13.4112796,Spiced Academy,634540095507
4,2023-06-11,2023-06-11,Sonntagskonzert Nr. 6 | Traumverloren,https://www.eventbrite.de/e/sonntagskonzert-nr-6-traumverloren-tickets-460714097267,DE,Berlin,Berlin,Herbert-von-Karajan-Straße 1,10785,52.5100776,13.369992,Kammermusiksaal,460714097267
4,2023-06-14,2023-06-14,AsiaBerlin Summit Satellite Event: UX Testing & Chinese Market Knowledge,https://www.eventbrite.de/e/asiaberlin-summit-satellite-event-ux-testing-chinese-market-knowledge-tickets-633846681487,DE,Berlin,Berlin,Rohrdamm 88,13629,52.5351693,13.2643893,Startup Incubator Berlin,633846681487
